Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	latitude	longitude
EU574061.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007002820	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					Syncerus caffer (buffalo)		09-Feb-2007			Rift Valley fever virus strain 2007002820 segment S, complete sequence	2007-02-09		2007002820	rvf		
PP746310.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P110	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	5924	partial		M					Bos taurus		2022-09-12			Rift Valley fever virus strain Rwanda2022P110 polymerase gene, partial cds	2022-09-12		Rwanda2022P110	rvf		
HM587101.1	Rift Valley fever virus	GenBank						09-DEC-2011	Ar20364	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		unknown					Culex zombaensis		1981			Rift Valley fever virus isolate Ar20364 segment M glycoprotein G2 gene, partial cds	1981		Ar20364	rvf		
MG659836.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU126/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SPU126/10 segment L, complete sequence	2010		SPU126/10	rvf		
PP541456.1	Rift Valley fever virus	GenBank						27-OCT-2024	SH409425	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6397	complete		L					Homo sapiens		11-Nov-2022			Rift Valley fever virus isolate SH409425 segment L, complete sequence	2022-11-11		SH409425	rvf		
OR844387.1	Rift Valley fever virus	GenBank						26-JUN-2024	2687/3	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1689	complete		S						placenta				Rift Valley fever virus isolate 2687/3 segment S, complete sequence			2687/3	rvf		
MF593930.1	Phlebovirus riftense	GenBank						07-MAR-2018	rMP12-GM50	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S							2014			Phlebovirus riftense isolate rMP12-GM50 segment S, complete sequence	2014		rMP12-GM50	rvf		
KU645397.1	Rift Valley fever virus	GenBank						12-JUN-2016	RFV-Moz-Gob-T9-2014	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	560	partial		unknown					Capra aegagrus hircus	serum	Mar-2014			Rift Valley fever virus isolate RFV-Moz-Gob-T9-2014 envelope glycoprotein gene, partial cds	2014		RFV-Moz-Gob-T9-2014	rvf		
EU574049.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007000608	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					bovine		29-Jan-2007			Rift Valley fever virus strain 2007000608 segment M, complete sequence	2007-01-29		2007000608	rvf		
OR780623.1	Rift Valley fever virus	GenBank						06-DEC-2023	BDI0008	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3568	partial		M					Bos taurus		19-May-2022			Rift Valley fever virus isolate BDI0008 glycoprotein gene, partial cds	2022-05-19		BDI0008	rvf		
MT561462.1	Rift Valley fever virus	GenBank						05-MAY-2021	Namibia_2011	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					springbok		30-Jul-2011			Rift Valley fever virus isolate Namibia_2011 segment S, complete sequence	2011-07-30		Namibia_2011	rvf		
OK415596.1	Rift Valley fever virus	GenBank						30-APR-2022	2018/MRT/4	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	232	partial		unknown					mosquito		2018			Rift Valley fever virus isolate 2018/MRT/4 nonfunctional glycoprotein gene, partial sequence	2018		2018/MRT/4	rvf		
MG659766.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA394/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA394/10 segment M, complete sequence	2010		SA394/10	rvf		
ON060802.1	Rift Valley fever virus	GenBank						25-MAR-2023	201902747_L|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6385	partial		L			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201902747_L|Uganda|2018 RNA-dependent RNA polymerase gene, complete cds	2018	Uganda	201902747_L|Uganda|2018	rvf	1.3733	32.2903
JQ068143.1	Rift Valley fever virus	GenBank						24-MAR-2012	Kakamas	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	3885	complete		M					sheep	blood	Oct-2009			Rift Valley fever virus segment M, complete sequence	2009		Kakamas	rvf		
OR780624.1	Rift Valley fever virus	GenBank						06-DEC-2023	BDI0009	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3558	partial		M					Bos taurus		18-May-2022			Rift Valley fever virus isolate BDI0009 glycoprotein gene, partial cds	2022-05-18		BDI0009	rvf		
MG649059.1	Rift Valley fever virus	GenBank						30-DEC-2018	RVFV-BJ01-Sera-7d/2016	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					Homo sapiens	serum	22-Jun-2016			Rift Valley fever virus isolate RVFV-BJ01-Sera-7d/2016 segment S, complete sequence	2016-06-22		RVFV-BJ01-Sera-7d/2016	rvf		
MG659903.1	Rift Valley fever virus	GenBank						13-NOV-2020	Lunyo	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Aedes sp. (mosquito)		1955			Rift Valley fever virus isolate Lunyo segment L, complete sequence	1955		Lunyo	rvf		
JF311390.1	Rift Valley fever virus	GenBank						16-JUN-2011	200803166	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					Homo sapiens		Feb-1991			Rift Valley fever virus strain 200803166 segment S, complete sequence	1991		200803166	rvf		
MG659910.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA76/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA76/10 segment S, complete sequence	2010		SA76/10	rvf		
GU135841.1	Rift Valley fever virus	GenBank						03-APR-2012	FI-28	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Anopheles squamosus	unfed female mosquitos	19-Dec-2008			Rift Valley fever virus strain FI-28 segment S nonstructural protein gene, partial cds	2008-12-19		FI-28	rvf		
GQ443158.1	Rift Valley fever virus	GenBank						25-JUL-2016	0879-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Homo sapiens	serum	26-Mar-2008			Rift Valley fever virus strain 0879-08 segment S nonstructural protein gene, partial cds	2008-03-26		0879-08	rvf		
KY366328.1	Rift Valley fever virus	GenBank						29-JUN-2017	272660	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1605	partial		S					Homo sapiens	serum	2015			Rift Valley fever virus isolate 272660 nucleocapsid genes, complete cds	2015		272660	rvf		
GQ443180.1	Rift Valley fever virus	GenBank						25-JUL-2016	0428-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		unknown					Homo sapiens	serum	15-Feb-2008			Rift Valley fever virus strain 0428-08 segment L polymerase gene, partial cds	2008-02-15		0428-08	rvf		
PP746369.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P7	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3529	partial		M					Bos taurus		2022-06-09			Rift Valley fever virus strain Rwanda2022P7 glycoprotein gene, partial cds	2022-06-09		Rwanda2022P7	rvf		
MG659897.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA579/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2011			Rift Valley fever virus isolate SA579/11 segment L, complete sequence	2011		SA579/11	rvf		
MG659837.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA128/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA128/10 segment L, complete sequence	2010		SA128/10	rvf		
PP746451.1	Rift Valley fever virus	GenBank						12-FEB-2025	NA-KOL	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6401	partial		L					Homo sapiens		03-Jan-2007			Rift Valley fever virus strain NA-KOL polymerase gene, complete cds	2007-01-03		NA-KOL	rvf		
PG403434.1	synthetic construct	GenBank						28-FEB-2025					other DNA	6404	partial		L										JP 2023543101-A/43: ATTENUATED VARIANT OF THE RIFT VALLEY FEVER VIRUS, COMPOSITION COMPRISING SAME, AND USES THEREOF			PG403434.1	rvf		
PP746371.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P73	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3561	partial		M					Ovis aries		2022-07-03			Rift Valley fever virus strain Rwanda2022P73 glycoprotein gene, partial cds	2022-07-03		Rwanda2022P73	rvf		
PQ753154.1	Rift Valley fever virus	GenBank						01-FEB-2025	RW089	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	551	partial		unknown					Culex quinquefasciatus	whole body	26-May-2022			Rift Valley fever virus strain RW089 glycoprotein gene, partial cds	2022-05-26		RW089	rvf		
HM586960.1	Rift Valley fever virus	GenBank						14-APR-2011	TAN/Dod-002/07	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	partial		L					Homo sapiens		14-Mar-2007			Rift Valley fever virus strain TAN/Dod-002/07 polymerase (L) gene, complete cds	2007-03-14		TAN/Dod-002/07	rvf		
MG897467.1	Rift Valley fever virus	GenBank						25-NOV-2018	Niger 1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	550	partial		unknown			Niger		Homo sapiens	serum	2016			Rift Valley fever virus strain Niger 1 glycoprotein gene, partial cds	2016	Niger	Niger 1	rvf	17.6078	8.0817
GQ443128.1	Rift Valley fever virus	GenBank						25-JUL-2016	0413-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Bos taurus	fetal liver	20-Feb-2008			Rift Valley fever virus strain 0413-08 segment S nonstructural protein gene, partial cds	2008-02-20		0413-08	rvf		
OP158209.1	Phlebovirus riftense	GenBank						13-FEB-2024	08HAB	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1593	partial		S					Ovis aries		27-Jul-2018			Phlebovirus riftense isolate 08HAB segment S nonstructural protein and nucleocapsid protein genes, complete cds	2018-07-27		08HAB	rvf		
PP746456.1	Rift Valley fever virus	GenBank						12-FEB-2025	MO-LE	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3877	partial		M					Homo sapiens		01-Jan-2007			Rift Valley fever virus strain MO-LE glycoprotein gene, complete cds	2007-01-01		MO-LE	rvf		
GQ443140.1	Rift Valley fever virus	GenBank						25-JUL-2016	0776-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Homo sapiens	serum	14-Mar-2008			Rift Valley fever virus strain 0776-08 segment S nonstructural protein gene, partial cds	2008-03-14		0776-08	rvf		
MG953420.1	Rift Valley fever virus	GenBank						30-JAN-2019	201601502	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3815	partial		M					Homo sapiens		09-Jun-2016			Rift Valley fever virus strain 201601502 segment M glycoprotein gene, partial cds	2016-06-09		201601502	rvf		
HM586957.1	Rift Valley fever virus	GenBank						14-APR-2011	KEN/Bar-032/07	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	partial		L					Homo sapiens		03-Feb-2007			Rift Valley fever virus strain KEN/Bar-032/07 polymerase (L) gene, complete cds	2007-02-03		KEN/Bar-032/07	rvf		
ON060837.1	Rift Valley fever virus	GenBank						25-MAR-2023	2021001358_M|Uganda	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3839	partial		M			Uganda		Homo sapiens					Rift Valley fever virus isolate 2021001358_M|Uganda glycoprotein gene, partial cds		Uganda	2021001358_M|Uganda	rvf	1.3733	32.2903
MG659978.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA320/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2011			Rift Valley fever virus isolate SA320/11 segment S, complete sequence	2011		SA320/11	rvf		
EU574063.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007002476	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					bovine		21-Feb-2007			Rift Valley fever virus strain 2007002476 segment S, complete sequence	2007-02-21		2007002476	rvf		
GQ443208.1	Rift Valley fever virus	GenBank						25-JUL-2016	0897-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		unknown					Homo sapiens	serum	26-Mar-2008			Rift Valley fever virus strain 0897-08 segment L polymerase gene, partial cds	2008-03-26		0897-08	rvf		
MG659848.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA322/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA322/10 segment L, complete sequence	2010		SA322/10	rvf		
EU574050.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007000473	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					ovine		26-Jan-2007			Rift Valley fever virus strain 2007000473 segment M, complete sequence	2007-01-26		2007000473	rvf		
PP541458.1	Rift Valley fever virus	GenBank						27-OCT-2024	SH409425	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1671	complete		S					Homo sapiens		17-Nov-2022			Rift Valley fever virus isolate SH409425 segment S, complete sequence	2022-11-17		SH409425	rvf		
ON060776.1	Rift Valley fever virus	GenBank						25-MAR-2023	201900877_M|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3872	partial		M			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201900877_M|Uganda|2018 glycoprotein gene, complete cds	2018	Uganda	201900877_M|Uganda|2018	rvf	1.3733	32.2903
JF311371.1	Rift Valley fever virus	GenBank						16-JUN-2011	200803165	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		Mar-2008			Rift Valley fever virus strain 200803165 segment L, complete sequence	2008		200803165	rvf		
PP746307.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P103	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	5924	partial		M					Bos taurus		2022-08-08			Rift Valley fever virus strain Rwanda2022P103 polymerase gene, partial cds	2022-08-08		Rwanda2022P103	rvf		
GQ443176.1	Rift Valley fever virus	GenBank						25-JUL-2016	0212-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		unknown					Homo sapiens	serum	30-Jan-2008			Rift Valley fever virus strain 0212-08 segment L polymerase gene, partial cds	2008-01-30		0212-08	rvf		
ON060806.1	Rift Valley fever virus	GenBank						25-MAR-2023	201902750_M|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3867	partial		M			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201902750_M|Uganda|2018 glycoprotein gene, complete cds	2018	Uganda	201902750_M|Uganda|2018	rvf	1.3733	32.2903
KY196500.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU77/04	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2004			Rift Valley fever virus isolate SPU77/04 segment S, complete sequence	2004		SPU77/04	rvf		
MK134835.1	Phlebovirus riftense	GenBank						16-DEC-2019	RV2613-2/RSA/2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					ovine		14-May-2018			Phlebovirus riftense isolate RV2613-2/RSA/2018 segment L, complete sequence	2018-05-14		RV2613-2/RSA/2018	rvf		
PP746440.1	Rift Valley fever virus	GenBank						12-FEB-2025	KEM-JC	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3840	partial		M					Homo sapiens		01-Jan-2007			Rift Valley fever virus strain KEM-JC glycoprotein gene, partial cds	2007-01-01		KEM-JC	rvf		
OR528952.1	Rift Valley fever virus	GenBank						26-FEB-2024	2019/Sample-120	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1681	complete		S					Philantomba monticola	liver/spleen	02-Jul-2019			Rift Valley fever virus strain 2019/Sample-120 segment S, complete sequence	2019-07-02		2019/Sample-120	rvf		
PP746313.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P13	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6165	partial		L					Bos taurus		2022-06-08			Rift Valley fever virus strain Rwanda2022P13 polymerase gene, partial cds	2022-06-08		Rwanda2022P13	rvf		
AF134493.1	Rift Valley fever virus	GenBank						26-JUL-2016	Ar B1976	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic DNA	738	partial		unknown										Rift Valley fever virus Ar B1976 M segment G2 (G2) gene, partial cds			Ar B1976	rvf		
OQ440143.1	Rift Valley fever virus	GenBank						02-JUL-2023	Lunyo	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	partial		M					Homo sapiens		09-Jul-1955			Rift Valley fever virus strain Lunyo glycoprotein (gp) gene, complete cds	1955-07-09		Lunyo	rvf		
MG659954.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA665/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA665/10 segment S, complete sequence	2010		SA665/10	rvf		
PP746345.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P103	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3541	partial		M					Bos taurus		2022-08-08			Rift Valley fever virus strain Rwanda2022P103 glycoprotein gene, partial cds	2022-08-08		Rwanda2022P103	rvf		
MG659985.1	Rift Valley fever virus	GenBank						13-NOV-2020	S35	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					ovine		1972			Rift Valley fever virus isolate S35 segment S, complete sequence	1972		S35	rvf		
MG659917.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU100/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SPU100/10 segment S, complete sequence	2010		SPU100/10	rvf		
KX944821.1	Rift Valley fever virus	GenBank						25-OCT-2018	M57/74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1654	partial		S					unknown		1974			Rift Valley fever virus isolate M57/74 nonstructural protein and nucleocapsid protein genes, complete cds	1974		M57/74	rvf		
KX944810.1	Rift Valley fever virus	GenBank						25-OCT-2018	M21/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1676	partial		S					ovine		2010			Rift Valley fever virus isolate M21/10 nonstructural protein and nucleocapsid protein genes, complete cds	2010		M21/10	rvf		
KY196511.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU52/99/1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					African buffalo		1999			Rift Valley fever virus isolate SPU52/99/1 segment S, complete sequence	1999		SPU52/99/1	rvf		
M33094.1	Rift Valley fever virus	GenBank						03-AUG-1993	Zimbabwian isolate ZIM69 (2373/74)	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	90	partial		unknown										Rift Valley fever virus (Zimbabwian isolate ZIM69 (2373/74)) M segment nonstructural glycoprotein gene, partial cds			Zimbabwian isolate ZIM69 (2373/74)	rvf		
GQ443163.1	Rift Valley fever virus	GenBank						25-JUL-2016	1464-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Homo sapiens	serum	28-Mar-2008			Rift Valley fever virus strain 1464-08 segment S nonstructural protein gene, partial cds	2008-03-28		1464-08	rvf		
JQ820481.1	Rift Valley fever virus	GenBank						26-JAN-2013	Sudan 30-2010	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1689	complete		S			Sudan		Homo sapiens	human sera	Oct-2010			Rift Valley fever virus strain Sudan 30-2010 segment S, complete sequence	2010	Sudan	Sudan 30-2010	rvf	12.8628	30.2176
MG659773.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA484/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA484/10 segment M, complete sequence	2010		SA484/10	rvf		
MG659961.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1092/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA1092/10 segment S, complete sequence	2010		SA1092/10	rvf		
MG659743.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA95/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA95/10 segment M, complete sequence	2010		SA95/10	rvf		
OR805807.1	Rift Valley fever virus	GenBank						30-MAY-2024	ZH548	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens	serum	1977			Rift Valley fever virus strain ZH548 segment S, complete sequence	1977		ZH548	rvf		
GU135845.1	Rift Valley fever virus	GenBank						03-APR-2012	AL-51	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Anopheles squamosus	unfed female mosquitos	27-Apr-2009			Rift Valley fever virus strain AL-51 segment S nonstructural protein gene, partial cds	2009-04-27		AL-51	rvf		
HM587109.1	Rift Valley fever virus	GenBank						09-DEC-2011	Ar74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		unknown					Aedes circumluteolus		1955			Rift Valley fever virus isolate Ar74 segment M glycoprotein G2 gene, partial cds	1955		Ar74	rvf		
EU574015.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007001809	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					caprine		01-Dec-2006			Rift Valley fever virus strain 2007001809 segment L, complete sequence	2006-12-01		2007001809	rvf		
MG649055.1	Rift Valley fever virus	GenBank						30-DEC-2018	RVFV-BJ01-Sera-7d/2016	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3884	complete		M					Homo sapiens	serum	22-Jun-2016			Rift Valley fever virus isolate RVFV-BJ01-Sera-7d/2016 segment M, complete sequence	2016-06-22		RVFV-BJ01-Sera-7d/2016	rvf		
GQ443130.1	Rift Valley fever virus	GenBank						25-JUL-2016	0428-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Homo sapiens	serum	15-Feb-2008			Rift Valley fever virus strain 0428-08 segment S nonstructural protein gene, partial cds	2008-02-15		0428-08	rvf		
MG649053.1	Rift Valley fever virus	GenBank						30-DEC-2018	RVFV-BJ01-Urine-11d/2016	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6389	complete		L					Homo sapiens	urine	26-Jun-2016			Rift Valley fever virus isolate RVFV-BJ01-Urine-11d/2016 segment L, complete sequence	2016-06-26		RVFV-BJ01-Urine-11d/2016	rvf		
GQ443160.1	Rift Valley fever virus	GenBank						25-JUL-2016	0892-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Homo sapiens	serum	26-Mar-2008			Rift Valley fever virus strain 0892-08 segment S nonstructural protein gene, partial cds	2008-03-26		0892-08	rvf		
HM587107.1	Rift Valley fever virus	GenBank						09-DEC-2011	SA184/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		unknown					Homo sapiens		2010			Rift Valley fever virus isolate SA184/10 segment M glycoprotein G2 gene, partial cds	2010		SA184/10	rvf		
PP746382.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P103	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1658	partial		S					Bos taurus		2022-08-08			Rift Valley fever virus strain Rwanda2022P103 nonstructural protein and nucleocapsid genes, complete cds	2022-08-08		Rwanda2022P103	rvf		
HM587121.1	Rift Valley fever virus	GenBank						09-DEC-2011	VRL2373/74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		unknown					bovine fetus		1974			Rift Valley fever virus isolate VRL2373/74 segment M glycoprotein G2 gene, partial cds	1974		VRL2373/74	rvf		
MG659906.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU59/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SPU59/10 segment S, complete sequence	2010		SPU59/10	rvf		
KY196492.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA276/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA276/10 segment S, complete sequence	2010		SA276/10	rvf		
HM587115.1	Rift Valley fever virus	GenBank						09-DEC-2011	95EG Cow-2509	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		unknown					bovine		1995			Rift Valley fever virus isolate 95EG Cow-2509 segment M glycoprotein G2 gene, partial cds	1995		95EG Cow-2509	rvf		
PP746381.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P102	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1636	partial		S					Bos taurus		2022-05-08			Rift Valley fever virus strain Rwanda2022P102 nonstructural protein and nucleocapsid genes, complete cds	2022-05-08		Rwanda2022P102	rvf		
MG659801.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1518/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA1518/10 segment M, complete sequence	2010		SA1518/10	rvf		
HE687307.1	Rift Valley fever virus	GenBank						07-JUN-2012	2008/00101	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	partial		S					Homo sapiens	Human serum	20-Mar-2008			Rift Valley fever virus complete S segment, strain 2008/00101, genomic RNA	2008-03-20		2008/00101	rvf		
MG649052.1	Rift Valley fever virus	GenBank						30-DEC-2018	RVFV-BJ01-Sera-8d/2016	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6402	complete		L					Homo sapiens	serum	23-Jun-2016			Rift Valley fever virus isolate RVFV-BJ01-Sera-8d/2016 segment L, complete sequence	2016-06-23		RVFV-BJ01-Sera-8d/2016	rvf		
ON060789.1	Rift Valley fever virus	GenBank						25-MAR-2023	201902733_S|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1617	partial		S			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201902733_S|Uganda|2018 nonstructural protein gene, complete cds; and nucleocapsid protein gene, partial cds	2018	Uganda	201902733_S|Uganda|2018	rvf	1.3733	32.2903
AF134541.1	Rift Valley fever virus	GenBank						26-JUL-2016	Lunyo	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	142	partial		unknown										Rift Valley fever virus S segment strain Lunyo nucleocapsid protein (N) gene, partial cds			Lunyo	rvf		
