Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	accession	latitude	longitude
OQ440155.1	Rift Valley fever virus	GenBank			Yi,h. and Kim,K.W.	School of Biosystem and Biomedical Science, Korea University, Anam-ro 145, Seongbuk-gu, Seoul 02841, South Korea		02-JUL-2023	ZH-548	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	partial		M		Egypt: Sharqiya	Egypt		Homo sapiens		1977			Rift Valley fever virus strain ZH-548 glycoprotein (M) gene, complete cds	1977	Egypt	ZH-548	rvf	OQ440155.1	26.8206	30.8025
KY366330.1	Rift Valley fever virus	GenBank			Bob,N.S., Ba,H., Ishagh,E., Fall,G., Darnycka,B.M.R., Diallo,M.Y., Ndiaye,A.M., Abeid,A., Faye,O., Sidi,M.L. and Sall,A.A.	Pole Virologie, Institut Pasteur de Dakar, 36 Avenue Pasteur, Dakar, Sen BP220, Senegal		29-JUN-2017	272660	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6176	partial		L		Mauritania	Mauritania		Homo sapiens	serum	2015			Rift Valley fever virus isolate 272660 polymerase gene, partial cds	2015	Mauritania	272660	rvf	KY366330.1	21.0079	-10.9408
MG659868.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA665/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA665/10 segment L, complete sequence	2010	South Africa	SA665/10	rvf	MG659868.1	-30.5595	22.9375
DQ380185.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	OS-8	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Mauritania	Mauritania		Homo sapiens	human sera	1987			Rift Valley fever virus strain OS-8 segment M, complete sequence	1987	Mauritania	OS-8	rvf	DQ380185.1	21.0079	-10.9408
MG659801.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1518/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1518/10 segment M, complete sequence	2010	South Africa	SA1518/10	rvf	MG659801.1	-30.5595	22.9375
GQ443234.1	Rift Valley fever virus	GenBank			Reynes,J.-M., Andriamandimby,S.F. and Razainirina,J.	Centre National de Reference Pour les Arbovirus et Virus Responsables de Fievres Hemorragiques, Institut Pasteur de Madagascar, Route de L'institut Pasteur, Antananarivo 101, Madagascar		25-JUL-2016	0849-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		M		Madagascar	Madagascar		Homo sapiens	serum	23-Mar-2008			Rift Valley fever virus strain 0849-08 segment M glycoprotein G2 gene, partial cds	2008-03-23	Madagascar	0849-08	rvf	GQ443234.1	-18.7669	46.8691
EU574081.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007000226	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Kenya: Maragua district	Kenya		bovine		16-Jan-2007			Rift Valley fever virus strain 2007000226 segment S, complete sequence	2007-01-16	Kenya	2007000226	rvf	EU574081.1	0.0236	37.9062
ON060778.1	Rift Valley fever virus	GenBank			Nyakarahuka,L., Whitmer,S., Klena,J., Balinandi,S.K., Talundzic,E., Alex,T., Jackson,K., Mulei,S., Patel,K., Baluku,J., Grace,A.G., Diana,N., Kamugisha,K., Cossaboom,C., Whitesell,A., Carson,T., Graziano,J., Montomery,J., Stuart,N., Lutwama,J. and Shoemaker,T.R.	VSPB, CDC, 1600 Clifton Road, Atlanta, GA 30333, USA		25-MAR-2023	201900879_L|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6388	partial		L		Uganda	Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201900879_L|Uganda|2018 RNA-dependent RNA polymerase gene, complete cds	2018	Uganda	201900879_L|Uganda|2018	rvf	ON060778.1	1.3733	32.2903
GQ443220.1	Rift Valley fever virus	GenBank			Reynes,J.-M., Andriamandimby,S.F. and Razainirina,J.	Centre National de Reference Pour les Arbovirus et Virus Responsables de Fievres Hemorragiques, Institut Pasteur de Madagascar, Route de L'institut Pasteur, Antananarivo 101, Madagascar		25-JUL-2016	0413-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		M		Madagascar	Madagascar		Bos taurus	fetal liver	20-Feb-2008			Rift Valley fever virus strain 0413-08 segment M glycoprotein G2 gene, partial cds	2008-02-20	Madagascar	0413-08	rvf	GQ443220.1	-18.7669	46.8691
JQ820481.1	Rift Valley fever virus	GenBank			Aradaib,I.E., Erickson,B.R., Khristova,M.L., Karsany,M.E., Elageb,R.M., Elkhidir,I.M., Elbashir,M.I. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		26-JAN-2013	Sudan 30-2010	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1689	complete		S		Sudan: Gezira State	Sudan		Homo sapiens	human sera	Oct-2010			Rift Valley fever virus strain Sudan 30-2010 segment S, complete sequence	2010	Sudan	Sudan 30-2010	rvf	JQ820481.1	12.8628	30.2176
Y12754.1	Rift Valley fever virus	GenBank			Prehaud,C.J.N.	C.J.N. Prehaud, Institut Pasteur, Laboratoire des Bunyavirides, 75724 Paris Cedex 15, 75724, FRANCE		25-JUL-2016	MP12	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	602	partial												Rift valley fever virus NSs gene, partial, strain MP12			MP12	rvf	Y12754.1		
AF134784.1	Rift Valley fever virus	GenBank			Sall,A.A., Zanotto,P.M., Sene,O.K., Digoutte,H.G., Thiogane,Y. and Bouloy,M.	Laboratoire des Bunyavirides, Institute Paster de Dakar, BP 220, Dakar, Senegal		26-JUL-2016	H D 47408	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	129	partial												Rift Valley fever virus strain H D 47408 polymerase (L) gene, partial cds			H D 47408	rvf	AF134784.1		
ON060816.1	Rift Valley fever virus	GenBank			Nyakarahuka,L., Whitmer,S., Klena,J., Balinandi,S.K., Talundzic,E., Alex,T., Jackson,K., Mulei,S., Patel,K., Baluku,J., Grace,A.G., Diana,N., Kamugisha,K., Cossaboom,C., Whitesell,A., Carson,T., Graziano,J., Montomery,J., Stuart,N., Lutwama,J. and Shoemaker,T.R.	VSPB, CDC, 1600 Clifton Road, Atlanta, GA 30333, USA		25-MAR-2023	201902763_L|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6388	partial		L		Uganda	Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201902763_L|Uganda|2018 RNA-dependent RNA polymerase gene, complete cds	2018	Uganda	201902763_L|Uganda|2018	rvf	ON060816.1	1.3733	32.2903
MG659900.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	VRL2051/76	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Zimbabwe	Zimbabwe		Homo sapiens		1976			Rift Valley fever virus isolate VRL2051/76 segment L, complete sequence	1976	Zimbabwe	VRL2051/76	rvf	MG659900.1	-19.0154	29.1549
ON060787.1	Rift Valley fever virus	GenBank			Nyakarahuka,L., Whitmer,S., Klena,J., Balinandi,S.K., Talundzic,E., Alex,T., Jackson,K., Mulei,S., Patel,K., Baluku,J., Grace,A.G., Diana,N., Kamugisha,K., Cossaboom,C., Whitesell,A., Carson,T., Graziano,J., Montomery,J., Stuart,N., Lutwama,J. and Shoemaker,T.R.	VSPB, CDC, 1600 Clifton Road, Atlanta, GA 30333, USA		25-MAR-2023	201902734_L|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6320	partial		L		Uganda	Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201902734_L|Uganda|2018 RNA-dependent RNA polymerase gene, partial cds	2018	Uganda	201902734_L|Uganda|2018	rvf	ON060787.1	1.3733	32.2903
JN995340.1	Rift Valley fever virus	GenBank			Soumare,P.O.L., Freire,C.M., Faye,O., Diallo,M., Zanotto,P.M.A. and Sall,A.	Department of Microbiology, Laboratory of Molecular Evolution and Bioinformatics, Biomedical Sciences Institute, University of Sao Paulo, Prof Lineu Prestes Ave. 1374, Sao Paulo, Sao Paulo 05508-900, Brazil		15-MAY-2012	M35_ARBkcx_SN_BA_2003	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	718	partial				Senegal: Barkedji	Senegal		Culex poicilipes		2003			Rift Valley fever virus strain M35_ARBkcx_SN_BA_2003 glycoprotein gene, partial cds	2003	Senegal	M35_ARBkcx_SN_BA_2003	rvf	JN995340.1	14.4974	-14.4524
OQ440150.1	Rift Valley fever virus	GenBank			Yi,h. and Kim,K.W.	School of Biosystem and Biomedical Science, Korea University, Anam-ro 145, Seongbuk-gu, Seoul 02841, South Korea		02-JUL-2023	Kenya 56 (IB8)	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	partial		L		Kenya	Kenya		bovine					Rift Valley fever virus strain Kenya 56 (IB8) polymerase (L) gene, complete cds		Kenya	Kenya 56 (IB8)	rvf	OQ440150.1	0.0236	37.9062
JN995314.1	Rift Valley fever virus	GenBank			Soumare,P.O.L., Freire,C.M., Faye,O., Diallo,M., Zanotto,P.M.A. and Sall,A.	Department of Microbiology, Laboratory of Molecular Evolution and Bioinformatics, Biomedical Sciences Institute, University of Sao Paulo, Prof Lineu Prestes Ave. 1374, Sao Paulo, Sao Paulo 05508-900, Brazil		15-MAY-2012	M22_ANM_MR_HG_1998	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	718	partial				Mauritania: Hodh El Garbi	Mauritania		goat		1998			Rift Valley fever virus strain M22_ANM_MR_HG_1998 glycoprotein gene, partial cds	1998	Mauritania	M22_ANM_MR_HG_1998	rvf	JN995314.1	21.0079	-10.9408
DQ380184.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	OS-3	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Mauritania	Mauritania		Homo sapiens	human sera	1987			Rift Valley fever virus strain OS-3 segment M, complete sequence	1987	Mauritania	OS-3	rvf	DQ380184.1	21.0079	-10.9408
ON060771.1	Rift Valley fever virus	GenBank			Nyakarahuka,L., Whitmer,S., Klena,J., Balinandi,S.K., Talundzic,E., Alex,T., Jackson,K., Mulei,S., Patel,K., Baluku,J., Grace,A.G., Diana,N., Kamugisha,K., Cossaboom,C., Whitesell,A., Carson,T., Graziano,J., Montomery,J., Stuart,N., Lutwama,J. and Shoemaker,T.R.	VSPB, CDC, 1600 Clifton Road, Atlanta, GA 30333, USA		25-MAR-2023	2019000312_S|Uganda|2019	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1586	partial		S		Uganda	Uganda		Homo sapiens		2019			Rift Valley fever virus isolate 2019000312_S|Uganda|2019 nonstructural protein and nucleocapsid protein genes, partial cds	2019	Uganda	2019000312_S|Uganda|2019	rvf	ON060771.1	1.3733	32.2903
MG972978.1	Rift Valley fever virus	GenBank			Whitmer,S.L.M., Zufan,S.E., Stroeher,U., Nichol,S.T. and Klena,J.D.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		05-MAR-2020	201707025	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6332	complete		L		Uganda	Uganda		Homo sapiens		07-Dec-2017			Rift Valley fever virus strain 201707025 segment L, complete sequence	2017-12-07	Uganda	201707025	rvf	MG972978.1	1.3733	32.2903
ON060835.1	Rift Valley fever virus	GenBank			Nyakarahuka,L., Whitmer,S., Klena,J., Balinandi,S.K., Talundzic,E., Alex,T., Jackson,K., Mulei,S., Patel,K., Baluku,J., Grace,A.G., Diana,N., Kamugisha,K., Cossaboom,C., Whitesell,A., Carson,T., Graziano,J., Montomery,J., Stuart,N., Lutwama,J. and Shoemaker,T.R.	VSPB, CDC, 1600 Clifton Road, Atlanta, GA 30333, USA		25-MAR-2023	2021000843_S|Uganda	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1589	partial		S		Uganda	Uganda		Homo sapiens					Rift Valley fever virus isolate 2021000843_S|Uganda nonstructural protein and nucleocapsid protein genes, partial cds		Uganda	2021000843_S|Uganda	rvf	ON060835.1	1.3733	32.2903
DQ375402.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	Kenya 83 (21445)	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Kenya: Ruiru	Kenya			Aedes macintoshi	1983			Rift Valley fever virus strain Kenya 83 (21445) segment L, complete sequence	1983	Kenya	Kenya 83 (21445)	rvf	DQ375402.1	0.0236	37.9062
PP746382.1	Rift Valley fever virus	GenBank			Juma,J.A., Nsengimana,I., Mwangi,R., Nyamota,R., Konongoi,S.L., Roesel,K., Gasana,M.N., Ingabire,A., Uwibambe,E., Ndayisenga,F., Mavunyi,C.M., Hazikimana,E., Hazikimana,J.N., Eastwood,G., Chengula,A., Kasanga,C.J., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		22-AUG-2024	Rwanda2022P103	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1658	partial		S		Rwanda	Rwanda		Bos taurus		2022-08-08			Rift Valley fever virus strain Rwanda2022P103 nonstructural protein and nucleocapsid genes, complete cds	2022-08-08	Rwanda	Rwanda2022P103	rvf	PP746382.1	-1.9403	29.8739
DQ380196.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	Kenya 9800523	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Kenya	Kenya		Homo sapiens	human sera	1998			Rift Valley fever virus strain Kenya 9800523 segment M, complete sequence	1998	Kenya	Kenya 9800523	rvf	DQ380196.1	0.0236	37.9062
PV231433.1	Rift Valley fever virus	GenBank			Modise-Tlotleng,B.M., Mpoloka,S.W., Settypalli,T.B.K., Takemura,T., Hyera,J., Xue,D., Kgotlele,T., Morapedi,K., Raboloko,O.O., Marobela-Raborokgwe,C., Viljoen,G.J., Cattoli,G. and Lamien,C.E.	Animal Production and Health Laboratory, Joint FAO/IAEA Centre of Nuclear Techniques in Food and Agriculture, Department of Nuclear Sciences and Applications, International Atomic Energy Agency, Wagramer Strasse 5, P.O. Box 100, Vienna 1400, Austria		23-MAR-2025	BOT_CAP/2018/1327_S6	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Botswana	Botswana		caprine		2018			Rift Valley fever virus isolate BOT_CAP/2018/1327_S6 segment S, complete sequence	2018	Botswana	BOT_CAP/2018/1327_S6	rvf	PV231433.1	-22.3285	24.6849
HM586970.1	Rift Valley fever virus	GenBank			Nderitu,L.M., Lee,J.S., Omolo,J., Omulo,S., O'Guinn,M.L., Hightower,A., Mosha,F., Mohamed,M., Munyua,P., Nganga,Z., Hiett,K., Seal,B., Feikin,D.R., Breiman,R.F. and Njenga,K.	Global Disease Detection Division, U.S. Centers for Disease Control and Prevention-Kenya, P.O. Box 606, Nairobi 00621, Kenya		14-APR-2011	TAN/Tan-001/07	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	partial		M		Tanzania	Tanzania				08-Feb-2007			Rift Valley fever virus strain TAN/Tan-001/07 glycoprotein gene, complete cds	2007-02-08	Tanzania	TAN/Tan-001/07	rvf	HM586970.1	-6.369	34.8888
MG659919.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA106/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA106/10 segment S, complete sequence	2010	South Africa	SA106/10	rvf	MG659919.1	-30.5595	22.9375
HM587112.1	Rift Valley fever virus	GenBank			Grobbelaar,A., Swanepoel,R. and Paweska,J.T.	NICD, 1 Modderfontein Road, Johannesburg 2131, South Africa		09-DEC-2011	Ar12568	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		M		South Africa	South Africa		Eretmapodites quinquevittatus		1971			Rift Valley fever virus isolate Ar12568 segment M glycoprotein G2 gene, partial cds	1971	South Africa	Ar12568	rvf	HM587112.1	-30.5595	22.9375
ON060775.1	Rift Valley fever virus	GenBank			Nyakarahuka,L., Whitmer,S., Klena,J., Balinandi,S.K., Talundzic,E., Alex,T., Jackson,K., Mulei,S., Patel,K., Baluku,J., Grace,A.G., Diana,N., Kamugisha,K., Cossaboom,C., Whitesell,A., Carson,T., Graziano,J., Montomery,J., Stuart,N., Lutwama,J. and Shoemaker,T.R.	VSPB, CDC, 1600 Clifton Road, Atlanta, GA 30333, USA		25-MAR-2023	201900877_L|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6391	partial		L		Uganda	Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201900877_L|Uganda|2018 RNA-dependent RNA polymerase gene, complete cds	2018	Uganda	201900877_L|Uganda|2018	rvf	ON060775.1	1.3733	32.2903
HM586983.1	Rift Valley fever virus	GenBank			Nderitu,L.M., Lee,J.S., Omolo,J., Omulo,S., O'Guinn,M.L., Hightower,A., Mosha,F., Mohamed,M., Munyua,P., Nganga,Z., Hiett,K., Seal,B., Feikin,D.R., Breiman,R.F. and Njenga,K.	Global Disease Detection Division, U.S. Centers for Disease Control and Prevention-Kenya, P.O. Box 606, Nairobi 00621, Kenya		14-APR-2011	KEN/Gar-Msq131B-04/06	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	partial		S		Kenya	Kenya				29-Dec-2006			Rift Valley fever virus strain KEN/Gar-Msq131B-04/06 non-structural protein (NSs) and nucleocapsid protein (NP) genes, complete cds	2006-12-29	Kenya	KEN/Gar-Msq131B-04/06	rvf	HM586983.1	0.0236	37.9062
ON060808.1	Rift Valley fever virus	GenBank			Nyakarahuka,L., Whitmer,S., Klena,J., Balinandi,S.K., Talundzic,E., Alex,T., Jackson,K., Mulei,S., Patel,K., Baluku,J., Grace,A.G., Diana,N., Kamugisha,K., Cossaboom,C., Whitesell,A., Carson,T., Graziano,J., Montomery,J., Stuart,N., Lutwama,J. and Shoemaker,T.R.	VSPB, CDC, 1600 Clifton Road, Atlanta, GA 30333, USA		25-MAR-2023	201902753_L|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6387	partial		L		Uganda	Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201902753_L|Uganda|2018 RNA-dependent RNA polymerase gene, complete cds	2018	Uganda	201902753_L|Uganda|2018	rvf	ON060808.1	1.3733	32.2903
MG659738.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA76/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA76/10 segment M, complete sequence	2010	South Africa	SA76/10	rvf	MG659738.1	-30.5595	22.9375
EU312106.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	An991MAD91	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Madagascar	Madagascar		bovine		1991			Rift Valley fever virus strain An991MAD91 segment S, complete sequence	1991	Madagascar	An991MAD91	rvf	EU312106.1	-18.7669	46.8691
EU574071.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007001602	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Kenya: Mombassa district	Kenya		bovine		30-Jan-2007			Rift Valley fever virus strain 2007001602 segment S, complete sequence	2007-01-30	Kenya	2007001602	rvf	EU574071.1	0.0236	37.9062
HM587064.1	Rift Valley fever virus	GenBank			Grobbelaar,A., Swanepoel,R. and Paweska,J.T.	NICD, 1 Modderfontein Road, Johannesburg 2131, South Africa		09-DEC-2011	SPU22/07/129	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		M		Kenya	Kenya		Homo sapiens		2007			Rift Valley fever virus isolate SPU22/07/129 segment M glycoprotein G2 gene, partial cds	2007	Kenya	SPU22/07/129	rvf	HM587064.1	0.0236	37.9062
MG659852.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA394/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA394/10 segment L, complete sequence	2010	South Africa	SA394/10	rvf	MG659852.1	-30.5595	22.9375
MG953418.1	Rift Valley fever virus	GenBank			Patel,K., Whitmer,S.L.M., Zufan,S.E., Davis,W., Klena,J.D., Nichol,S.T. and Stroeher,U.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		30-JAN-2019	201601287	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3576	partial		M		Uganda	Uganda		Homo sapiens		15-Mar-2016			Rift Valley fever virus strain 201601287 segment M glycoprotein gene, partial cds	2016-03-15	Uganda	201601287	rvf	MG953418.1	1.3733	32.2903
JN995259.1	Rift Valley fever virus	GenBank			Soumare,P.O.L., Freire,C.M., Faye,O., Diallo,M., Zanotto,P.M.A. and Sall,A.	Department of Microbiology, Laboratory of Molecular Evolution and Bioinformatics, Biomedical Sciences Institute, University of Sao Paulo, Prof Lineu Prestes Ave. 1374, Sao Paulo, Sao Paulo 05508-900, Brazil		15-MAY-2012	S267_ANkda_SN_KO_1993	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	601	partial				Senegal: Kolda	Senegal		bovine		1993			Rift Valley fever virus strain S267_ANkda_SN_KO_1993 non-structural protein gene, partial cds	1993	Senegal	S267_ANkda_SN_KO_1993	rvf	JN995259.1	14.4974	-14.4524
EU312140.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	SPU2223KEN07	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Kenya	Kenya		Homo sapiens		2007			Rift Valley fever virus strain SPU2223KEN07 segment S, complete sequence	2007	Kenya	SPU2223KEN07	rvf	EU312140.1	0.0236	37.9062
PQ436085.1	Rift Valley fever virus	GenBank			Bakamutumaho,B., Nyakarahuka,L., Situma,S., Nasimiyu,C., Oyola,S., Juma,J., Bosa,H.K., Njenga,K.M. and Breiman,R.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		18-NOV-2024	CD300/Kabale1-2022	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	5850	partial		L		Uganda: Kabale	Uganda		Homo sapiens		2022-03-10			Rift Valley fever virus isolate CD300/Kabale1-2022 segment L polymerase gene, partial cds	2022-03-10	Uganda	CD300/Kabale1-2022	rvf	PQ436085.1	1.3733	32.2903
EU574029.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007000094	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Kenya: Garissa district	Kenya		bovine		12-Jan-2007			Rift Valley fever virus strain 2007000094 segment L, complete sequence	2007-01-12	Kenya	2007000094	rvf	EU574029.1	0.0236	37.9062
DQ380216.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	ANK-6087	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Guinea	Guinea		Micropterus caffer (bat)		1984			Rift Valley fever virus strain ANK-6087 segment M, complete sequence	1984	Guinea	ANK-6087	rvf	DQ380216.1	9.9456	-9.6966
AF134499.1	Rift Valley fever virus	GenBank			Sall,A.A., de A. Zanotto,P.M., Sene,O.K., Zeller,H.D., Digoutte,J.P., Thiongane,Y. and Bouloy,M.	Laboratoire des Bunyavirides, Institute Pateur de Dakar, BP 220, Dakar, Senegal		26-JUL-2016	Ar D104769	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic DNA	731	partial		M										Rift Valley fever virus Ar D104769 M segment G2 (G2) gene, partial cds			Ar D104769	rvf	AF134499.1		
